# request: curl  -L http://$1:8080/function/get-user-by-userid.openfaas-fn/accountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f

n_calls runtime(s) latency(ms) throughput(ops/s)
100 04.032 40.32000 24.80158
500 016.508 33.01000 30.29385
1000 035.801 35.80000 27.93296
2000 124.208 62.10000 16.10305
5000 37.486 7.49000 133.51134
10000 20.491 2.04000 490.19607
20000 826.550 41.32000 24.20135
