n_calls runtime(s) latency(ms) throughput(ops/s)
500 018.956 37.91000 26.37826
500 018.863 37.72000 26.51113
500 024.603 49.20000 20.32520
500 020.465 40.93000 24.43195
500 027.298 54.59000 18.31837
500 029.626 59.25000 16.87763
500 021.172 42.34000 23.61832
500 028.919 57.83000 17.29206
500 028.080 56.16000 17.80626
500 024.864 49.72000 20.11263
